title,labels,predicted,is_right,intersection
Решение по делу 1-59/2018 - 158 ч.2 п.в - судья Михалат А. С. - 15/02/2018 - РосПравосудие,"[158.0, 74.0, 322.3, 70.0, 317.0]","[58.0, 61.0, 127.0, 86.0, 78.0]",0,0
Решение по делу 1-8/2018 - 264.1 - судья Зинец А. А. - 15/02/2018 - РосПравосудие,[264.1],"[73.0, 127.1, 264.0, 151.0, 72.0]",0,0
Решение по делу 1-47/2018 - 161 ч.1; 161 ч.1 - судья Милованов А. С. - 15/02/2018 - РосПравосудие,"[161.0, 161.0, 161.0, 161.0, 69.0]","[61.0, 296.0, 127.0, 127.2, 58.0]",0,0
Решение по делу 1-53/2018 - 158 ч.2 п.в - судья Никитина Екатерина Алексеевна - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 317.0]","[61.0, 78.0, 86.0, 17.0, 127.1]",0,0
Решение по делу 1-57/2018 - 158 ч.2 п.а - судья Чернявский Леонид Александрович - 15/02/2018 - РосПравосудие,"[158.0, 316.0, 317.0]","[61.0, 127.0, 296.0, 127.1, 34.0]",0,0
Решение по делу 1-23/2018 - 327 ч.3; 159.2 ч.3 - судья Дарбишухумаев Зайнудин Абуталибович - 15/02/2018 - РосПравосудие,"[159.0, 73.0, 317.0]","[127.1, 73.0, 122.0, 86.0, 40.0]",1,1
Решение по делу 1-9/2018 - 228 ч.1 - судья Сангаджиева Оксана Анатольевна - 15/02/2018 - РосПравосудие,[228.0],"[228.0, 228.3, 228.2, 229.1, 23.0]",1,1
Решение по делу 1-3/2018 - 157 ч.1 - судья Маслов Алексей Петрович - 15/02/2018 - РосПравосудие,"[157.0, 317.0]","[157.0, 82.0, 80.0, 122.0, 73.0]",1,1
Решение по делу 1-13/2018 - 119 ч.1 - судья Куренных Евгений Витальевич - 15/02/2018 - РосПравосудие,"[119.0, 119.0]","[6.0, 61.0, 127.0, 132.0, 28.0]",0,0
Решение по делу 1-36/2018 - 111 ч.2 п. - судья Киреенко Светлана Владимировна - 15/02/2018 - РосПравосудие,"[111.0, 317.0]","[69.0, 127.0, 58.0, 61.0, 86.0]",0,0
Решение по делу 1-145/2018 - 166 ч.1 - судья Матыскина Л. С. - 15/02/2018 - РосПравосудие,"[166.0, 73.0]","[43.0, 86.0, 58.0, 74.0, 78.0]",0,0
"Решение по делу 1-38/2018 - 33 ч.3; 158 ч.2 п.п.а,в - судья Хамидуллин Р. М. - 15/02/2018 - РосПравосудие","[158.0, 158.0]","[61.0, 58.0, 74.0, 127.0, 296.0]",0,0
Решение по делу 1-98/2018 - 228 ч.2 - судья Михалевич Т. В. - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 317.0]","[230.0, 127.1, 127.0, 20.0, 228.2]",0,0
Решение по делу 1-87/2018 - 158 ч.3 п.а - судья Михалевич Т. В. - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 317.0]","[61.0, 86.0, 127.0, 58.0, 69.0]",0,0
Решение по делу 1-48/2018 - 228 ч.1 - судья Артемьев Владимир Евстафьевич - 15/02/2018 - РосПравосудие,"[228.0, 73.0]","[80.0, 230.0, 127.1, 73.0, 314.0]",1,1
Решение по делу 1-39/2018 - 158 ч.2 п.в - судья Артемьев Владимир Евстафьевич - 15/02/2018 - РосПравосудие,[158.0],"[61.0, 17.0, 58.0, 80.0, 63.1]",0,0
Решение по делу 1-19/2018 - 158 ч.2 п.в - судья Макарова В. Н. - 15/02/2018 - РосПравосудие,"[158.0, 317.0]","[61.0, 86.0, 296.0, 74.0, 58.0]",0,0
Решение по делу 1-107/2018 - 228 ч.1 - судья Корчагина Ольга Васильевна - 15/02/2018 - РосПравосудие,"[228.0, 73.0]","[73.0, 230.0, 200.3, 104.2, 74.0]",1,1
Решение по делу 1-105/2018 - 228 ч.1 - судья Корчагина Ольга Васильевна - 15/02/2018 - РосПравосудие,[228.0],"[73.0, 230.0, 74.0, 70.0, 104.2]",0,0
Решение по делу 1-36/2018 - 158 ч.2 п.в - судья Федорова Анна Алексеевна - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 73.0]","[157.0, 104.3, 308.0, 82.0, 88.0]",0,0
Решение по делу 1-19/2018 - 158 ч.3 п.а - судья Самылов Павел Станиславович - 15/02/2018 - РосПравосудие,"[158.0, 73.0]","[296.0, 69.0, 58.0, 298.1, 303.0]",0,0
"Решение по делу 1-95/2018 - 158 ч.2 п.п.а,в - судья Чернов Владимир Алексеевич - 15/02/2018 - РосПравосудие","[158.0, 68.0, 73.0, 158.0]","[61.0, 127.0, 127.1, 86.0, 132.0]",0,0
Решение по делу 1-66/2018 - 228 ч.1 - судья Шибзухов Замир Хасанович - 15/02/2018 - РосПравосудие,"[228.0, 316.0]","[230.0, 127.1, 80.0, 73.0, 127.0]",0,0
"Решение по делу 1-20/2018 - 158 ч.2 п.п.а,б - судья Подынь З. Н. - 15/02/2018 - РосПравосудие","[158.0, 158.0, 317.0]","[61.0, 127.0, 69.0, 296.0, 80.0]",0,0
Решение по делу 1-116/2018 - 228 ч.1 - судья Плиско Александр Викторович - 15/02/2018 - РосПравосудие,"[228.0, 131.0]","[80.0, 73.0, 61.0, 40.0, 296.0]",0,0
Решение по делу 1-113/2018 - 228 ч.1 - судья Плиско Александр Викторович - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 131.0]","[61.0, 127.0, 80.0, 81.0, 127.1]",0,0
Решение по делу 1-15/2018 - 158 ч.3 п.а - судья Жежера Вадим Павлович - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 158.0, 73.0]","[58.0, 69.0, 76.2, 61.0, 157.0]",0,0
Решение по делу 1-67/2018 - 232 ч.1 - судья Морозов Ю. А. - 15/02/2018 - РосПравосудие,"[232.0, 73.0]","[20.0, 230.0, 102.0, 228.2, 127.2]",0,0
"Решение по делу 1-6/2018 - 30 ч.3, ; 158 ч.2 п.п.а,б; 158 ч.2 п.п.а,б - судья Труфанов И. А. - 15/02/2018 - РосПравосудие","[158.0, 158.0, 30.0, 69.0, 73.0, 158.0, 73.0, 30.0, 73.0, 317.0]","[61.0, 78.0, 127.0, 86.0, 58.0]",0,0
Решение по делу 1-37/2018 - 158 ч.2 п.в - судья Савенкова Ю. А. - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 317.0, 317.0, 316.0]","[74.0, 296.0, 63.1, 78.0, 17.0]",0,0
Решение по делу 1-19/2018 - 264 ч.3 - судья Дружкова Екатерина Владимировна - 15/02/2018 - РосПравосудие,"[264.0, 73.0, 73.0]","[61.0, 22.0, 69.0, 21.0, 39.0]",0,0
Решение по делу 1-34/2018 - 228 ч.1 - судья Сутормина Екатерина Васильевна - 15/02/2018 - РосПравосудие,"[228.0, 69.0, 317.0]","[127.0, 74.0, 73.0, 127.1, 122.0]",0,0
Решение по делу 1-75/2018 - 158 ч.2 п.в - судья Бурдуковская Л. А. - 15/02/2018 - РосПравосудие,[158.0],"[322.3, 322.2, 308.0, 58.0, 296.0]",0,0
Решение по делу 1-69/2018 - 158 ч.2 п.в - судья Бурдуковская Л. А. - 15/02/2018 - РосПравосудие,"[158.0, 73.0]","[296.0, 127.0, 127.1, 61.0, 78.0]",0,0
Решение по делу 1-49/2018 - 228 ч.2 - судья Благиных М. В. - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 316.0, 317.0]","[80.0, 127.0, 127.1, 69.0, 230.0]",0,0
Решение по делу 1-42/2018 - 158 ч.2 п.в - судья Щербинин Игорь Владимирович - 15/02/2018 - РосПравосудие,"[158.0, 74.0, 70.0, 71.0]","[61.0, 127.0, 58.0, 69.0, 127.1]",0,0
Решение по делу 1-48/2018 - 161 ч.1 - судья Шуркова В. А. - 15/02/2018 - РосПравосудие,"[161.0, 317.0]","[296.0, 78.0, 74.0, 61.0, 86.0]",0,0
Решение по делу 1-57/2018 - 116; 319; 112 ч.1; 314.1 ч.1; 158 ч.3 п.а; 158 ч.3 п.а - судья Тимина Елена Александровна - 15/02/2018 - РосПравосудие,"[112.0, 319.0, 158.0, 158.0, 158.0, 158.0, 116.0, 314.1, 112.0, 319.0, 158.0, 158.0, 158.0, 158.0, 116.0, 314.1, 69.0, 71.0, 91.0, 317.0]","[127.0, 127.1, 75.0, 34.0, 122.0]",0,0
Решение по делу 1-18/2018 - 158 ч.2 п.в - судья Утюшева Т. Л. - 15/02/2018 - РосПравосудие,"[158.0, 50.0, 73.0]","[296.0, 127.0, 86.0, 74.0, 58.0]",0,0
Решение по делу 1-18/2018 - 264 ч.1 - судья Лоханова Елена Николаевна - 15/02/2018 - РосПравосудие,[264.0],"[61.0, 37.0, 40.0, 2.0, 80.0]",0,0
Решение по делу 1-157/2018 - 228 ч.1 - судья Бородин А. А. - 15/02/2018 - РосПравосудие,"[228.0, 316.0, 131.0]","[127.1, 80.0, 127.0, 230.0, 63.0]",0,0
Решение по делу 1-6/2018 - 111 ч.1 - судья Сухова Ольга Ивановна - 15/02/2018 - РосПравосудие,"[111.0, 73.0, 73.0, 317.0]","[61.0, 86.0, 127.0, 21.0, 296.0]",0,0
Решение по делу 1-49/2018 - 166 ч.1 - судья Мальцева Юлия Анатольевна - 15/02/2018 - РосПравосудие,"[166.0, 53.0, 317.0]","[61.0, 127.0, 6.0, 40.0, 127.1]",0,0
"Решение по делу 1-97/2018 - 30 ч.3, ; 158 ч.2 п.а - судья Гуськов Андрей Сергеевич - 15/02/2018 - РосПравосудие","[30.0, 158.0, 30.0, 158.0, 73.0, 317.0]","[127.0, 61.0, 206.0, 86.0, 126.0]",0,0
"Решение по делу 1-35/2018 - 30 ч.3, ; 158 ч.2 п.в - судья Шакирьянова А. Г. - 15/02/2018 - РосПравосудие","[30.0, 158.0, 73.0, 158.0, 166.0, 325.0, 158.0, 317.0]","[61.0, 127.0, 86.0, 80.0, 127.1]",0,0
Решение по делу 1-7/2018 - 228 ч.2 - судья Романов Алексей Викторович - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 73.0, 81.0, 81.0, 317.0]","[314.0, 230.0, 127.1, 80.0, 73.0]",1,1
Решение по делу 1-137/2018 - 228 ч.1 - судья Ушаков Станислав Юрьевич - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 317.0]","[61.0, 80.0, 127.1, 127.0, 73.0]",1,1
Решение по делу 1-20/2018 - 264.1 - судья Картомин Дмитрий Вадимович - 15/02/2018 - РосПравосудие,"[264.1, 317.0]","[127.0, 127.1, 74.0, 40.0, 73.0]",0,0
Решение по делу 1-14/2018 - 157 ч.1 - судья Хренов Эдуард Геннадьевич - 15/02/2018 - РосПравосудие,[157.0],"[74.0, 296.0, 63.1, 73.0, 34.0]",0,0
Решение по делу 1-60/2018 - 228 ч.1 - судья Волчихина М. В. - 15/02/2018 - РосПравосудие,[228.0],"[73.0, 72.0, 80.0, 70.0, 264.0]",0,0
Решение по делу 1-60/2018 - 228 ч.1 - судья Волчихина М. В. - 15/02/2018 - РосПравосудие,[228.0],"[73.0, 72.0, 80.0, 70.0, 264.0]",0,0
Решение по делу 1-94/2018 - 228 ч.2 - судья Котунов Владислав Аркадьевич - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 317.0]","[80.0, 127.0, 127.1, 73.0, 63.0]",1,1
Решение по делу 1-57/2018 - 158 ч.2 п.в - судья Новиков Руслан Викторович - 15/02/2018 - РосПравосудие,"[158.0, 62.0, 73.0]","[61.0, 127.0, 69.0, 58.0, 80.0]",0,0
"Решение по делу 1-64/2018 - 158 ч.2 п.п.в,г - судья Барабкин Андрей Михайлович - 15/02/2018 - РосПравосудие","[158.0, 68.0, 70.0, 317.0]","[127.0, 58.0, 61.0, 86.0, 69.0]",0,0
Решение по делу 1-56/2018 - 159 ч.3 - судья Волчихина М. В. - 15/02/2018 - РосПравосудие,"[159.0, 73.0]","[292.0, 96.0, 200.3, 127.2, 122.0]",0,0
Решение по делу 1-252/2018 - 228 ч.1 - судья Ижко Антон Юрьевич - 15/02/2018 - РосПравосудие,[228.0],"[127.0, 80.0, 69.0, 61.0, 73.0]",0,0
Решение по делу 1-132/2018 - 228 ч.1 - судья Дубко Ольга Юрьевна - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 317.0]","[80.0, 127.1, 127.0, 61.0, 296.0]",0,0
"Решение по делу 1-26/2018 - 158 ч.2 п.п.а,б - судья Протасова С. Л. - 15/02/2018 - РосПравосудие","[158.0, 158.0, 316.0, 81.0]","[61.0, 58.0, 6.0, 69.0, 127.0]",0,0
Решение по делу 1-7/2018 - 158 ч.1 - судья Хисматуллин Артур Фанусович - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 73.0, 158.0, 316.0]","[86.0, 127.0, 40.0, 61.0, 78.0]",0,0
Решение по делу 1-15/2018 - 139 ч.1 - судья Малкова Наталья Леонидовна - 15/02/2018 - РосПравосудие,"[139.0, 73.0, 317.0]","[58.0, 86.0, 127.0, 78.0, 296.0]",0,0
Решение по делу 1-20/2018 - 158 ч.1 - судья Макарова Наталья Юрьевна - 15/02/2018 - РосПравосудие,"[158.0, 73.0]","[58.0, 86.0, 127.0, 61.0, 296.0]",0,0
Решение по делу 1-8/2018 - 158 ч.1 - судья Рубанова Наталья Владимировна - 15/02/2018 - РосПравосудие,"[158.0, 316.0, 317.0]","[127.0, 75.0, 40.0, 122.0, 127.2]",0,0
Решение по делу 1-11/2018 - 264.1 - судья Микерин Андрей Александрович - 15/02/2018 - РосПравосудие,"[264.1, 316.0]","[74.0, 73.0, 78.0, 79.0, 82.1]",0,0
Решение по делу 1-125/2018 - 264.1 - судья Балабанова Татьяна Анатольевна - 15/02/2018 - РосПравосудие,"[264.1, 47.0, 317.0]","[74.0, 73.0, 82.1, 63.1, 80.0]",0,0
Решение по делу 1-83/2018 - 264.1 - судья Балабанова Татьяна Анатольевна - 15/02/2018 - РосПравосудие,"[264.1, 47.0, 317.0]","[73.0, 74.0, 82.1, 2.0, 292.0]",0,0
Решение по делу 1-9/2018 - 157 ч.1 - судья Кацуба Алексей Александрович - 15/02/2018 - РосПравосудие,"[157.0, 317.0]","[73.0, 74.0, 82.1, 80.0, 63.1]",0,0
Решение по делу 1-7/2018 - 139 ч.1 - судья Архадыков Владимир Саналович - 15/02/2018 - РосПравосудие,"[139.0, 317.0]","[78.0, 34.0, 127.0, 86.0, 58.0]",0,0
Решение по делу 1-10/2018 - 115 ч.1 - судья Третьякова Жанна Вячеславовна - 15/02/2018 - РосПравосудие,[264.1],"[74.0, 295.0, 296.0, 127.0, 58.0]",0,0
Решение по делу 1-13/2018 - 119 ч.1 - судья Полякова Елена Валерьевна - 15/02/2018 - РосПравосудие,"[119.0, 119.0, 119.0, 73.0]","[86.0, 74.0, 296.0, 58.0, 127.0]",0,0
Решение по делу 1-4/2018 - 157 ч.1 - судья Васина Ольга Вячеславовна - 15/02/2018 - РосПравосудие,"[157.0, 317.0]","[74.0, 296.0, 82.1, 295.0, 73.0]",0,0
Решение по делу 1-14/2018 - 264.1 - судья Пошовкин Сергей Владимирович - 15/02/2018 - РосПравосудие,[264.1],"[127.1, 127.0, 40.0, 122.0, 80.0]",0,0
Решение по делу 1-15/2018 - 158 ч.1 - судья Марков М. О. - 15/02/2018 - РосПравосудие,[158.0],"[296.0, 298.1, 69.0, 58.0, 303.0]",0,0
Решение по делу 1-9/2018 - 264.1 - судья Джанкёзов Бийнегер Османович - 15/02/2018 - РосПравосудие,[264.1],"[127.0, 127.1, 80.0, 86.0, 74.0]",0,0
Решение по делу 1-89/2018 - 159 ч.1 - судья Образцова Ольга Юрьевна - 15/02/2018 - РосПравосудие,"[159.0, 317.0]","[296.0, 63.1, 303.0, 78.0, 96.0]",0,0
Решение по делу 1-7/2018 - 319 ч.1 - судья Александрова Ксения Александровна - 15/02/2018 - РосПравосудие,"[319.0, 69.0, 317.0]","[74.0, 73.0, 40.0, 82.1, 2.0]",0,0
Решение по делу 1-3/2018 - 264.1 - судья Данькова Лолита Викторовна - 15/02/2018 - РосПравосудие,"[264.1, 47.0, 317.0]","[74.0, 78.0, 296.0, 43.0, 127.0]",0,0
Решение по делу 1-3/2018 - 264.1 - судья Горячун Дмитрий Викторович - 15/02/2018 - РосПравосудие,"[264.1, 47.0, 317.0]","[73.0, 74.0, 82.1, 127.1, 80.0]",0,0
Решение по делу 1-2/2018 - 264.1 - судья Горячун Дмитрий Викторович - 15/02/2018 - РосПравосудие,"[264.1, 47.0, 317.0]","[74.0, 73.0, 80.0, 127.1, 82.1]",0,0
Решение по делу 1-23/2018 - 119 ч.1 - судья Чебанько Ирина Юрьевна - 15/02/2018 - РосПравосудие,"[119.0, 73.0]","[6.0, 127.0, 61.0, 40.0, 28.0]",0,0
Решение по делу 1-17/2018 - 139 ч.1 - судья Соловьева Наталья Анатольевна - 15/02/2018 - РосПравосудие,"[139.0, 73.0]","[86.0, 78.0, 34.0, 127.0, 74.0]",0,0
Решение по делу 1-2/2018 - 264.1 - судья Парфенова Татьяна Викторовна - 15/02/2018 - РосПравосудие,"[264.1, 74.0, 70.0]","[74.0, 73.0, 86.0, 127.1, 127.0]",1,1
Решение по делу 1-131/2018 - 158 ч.2 п.в - судья Фроликова Екатерина Николаевна - 15/02/2018 - РосПравосудие,"[158.0, 317.0]","[61.0, 127.0, 296.0, 86.0, 6.0]",0,0
Решение по делу 1-90/2018 - 166 ч.1; 158 ч.2 п.в; 158 ч.2 п.в - судья Костюк О. А. - 15/02/2018 - РосПравосудие,"[158.0, 69.0, 73.0, 317.0]","[58.0, 61.0, 127.0, 69.0, 6.0]",1,1
Решение по делу 1-10/2018 - 173.2 - судья Запорожец Юлия Николаевна - 15/02/2018 - РосПравосудие,"[173.2, 73.0]","[315.0, 287.0, 292.0, 82.1, 285.3]",0,0
Решение по делу 1-9/2018 - 158 ч.1 - судья Мельников Дмитрий Александрович - 15/02/2018 - РосПравосудие,[158.0],"[63.1, 74.0, 17.0, 73.0, 34.0]",0,0
Решение по делу 1-123/2018 - 228 ч.1 - судья Боброва Ольга Александровна - 15/02/2018 - РосПравосудие,"[228.0, 317.0]","[230.0, 73.0, 127.1, 102.0, 264.0]",0,0
Решение по делу 1-45/2018 - 158 ч.2 п.в - судья Баданин Денис Владимирович - 15/02/2018 - РосПравосудие,"[158.0, 317.0]","[61.0, 132.0, 127.1, 127.0, 6.0]",0,0
Решение по делу 1-103/2018 - 228 ч.2 - судья Хузин А. Ф - 15/02/2018 - РосПравосудие,"[228.0, 73.0, 73.0, 72.0]","[230.0, 228.3, 228.2, 212.0, 264.0]",0,0
Решение по делу 1-48/2018 - 228 ч.2 - судья Газзаева Фатима Казбековна - 15/02/2018 - РосПравосудие,"[228.0, 50.0]","[74.0, 73.0, 72.0, 82.1, 80.0]",0,0
Решение по делу 1-38/2018 - 222 ч.1 - судья Такалашов Кюри Амхатович - 15/02/2018 - РосПравосудие,"[222.0, 317.0]","[86.0, 80.0, 127.1, 127.0, 78.0]",0,0
Решение по делу 1-11/2018 - 137 ч.1 - судья Корольская Елена Викторовна - 15/02/2018 - РосПравосудие,"[137.0, 316.0, 317.0]","[296.0, 43.0, 63.1, 86.0, 82.1]",0,0
Решение по делу 1-9/2018 - 159.2 - судья Пономарева Евгения Сергеевна - 15/02/2018 - РосПравосудие,"[159.2, 81.0, 317.0]","[74.0, 82.1, 102.0, 73.0, 43.0]",0,0
Решение по делу 1-8/2018 - 158 ч.1 - судья Пономарева Евгения Сергеевна - 15/02/2018 - РосПравосудие,"[158.1, 81.0, 317.0]","[58.0, 296.0, 78.0, 127.0, 31.0]",0,0
Решение по делу 1-8/2018 - 264.1 - судья Арютина Галина Геннадьевна - 14/02/2018 - РосПравосудие,[264.1],"[73.0, 74.0, 127.1, 82.1, 2.0]",0,0
Решение по делу 1-6/2018 - 159.1 - судья Фомина Татьяна Викторовна - 14/02/2018 - РосПравосудие,"[159.1, 74.0, 317.0]","[82.1, 74.0, 73.0, 284.0, 58.0]",1,1
Решение по делу 1-1/2018 - 158 ч.1 - судья Селезнева Татьяна Анатольевна - 14/02/2018 - РосПравосудие,"[158.0, 69.0, 72.0]","[58.0, 74.0, 86.0, 78.0, 69.0]",1,1
Решение по делу 1-17/2018 - 322.2 - судья Малкина Юлия Леонидовна - 14/02/2018 - РосПравосудие,"[322.3, 64.0]","[322.3, 322.2, 13.0, 276.0, 322.0]",1,1
